date,ticker,S_recency,S_breadth,S_volume,S_events,pos,neg,total,smart_score,S_breadth_raw,S_volume_raw
2025-09-09,INFY.NS,84.84163784519498,100.0,31.54648767857288,50.0,3,0,3,73.83,,
2025-09-09,IRFC.NS,81.04442089796066,100.0,0.0,50.0,1,0,1,68.97,,
2025-09-09,ITC.NS,75.92480641384161,100.0,63.09297535714574,54.285714285714285,7,0,7,74.05,,
2025-09-09,JIOFIN.NS,53.14151682043076,66.66666666666666,18.453512321427134,37.5,1,0,2,48.47,,
2025-09-09,NBCC.NS,82.31785625219345,100.0,0.0,50.0,1,0,1,69.54,,
2025-09-09,NESTLEIND.NS,58.48789099324001,55.55555555555555,31.54648767857288,60.0,2,1,3,55.59,,
2025-09-09,NHPC.NS,77.17788312746595,77.77777777777777,57.01569977949825,50.0,5,1,6,68.49,,
2025-09-09,NIFTYBEES.NS,51.91209135150909,33.33333333333333,0.0,50.0,0,0,1,42.53,,
2025-09-09,NMDC.NS,56.38808548561537,16.666666666666664,68.45351232142714,51.24999999999999,3,5,8,48.37,,
2025-09-09,ONGC.NS,71.71862016670521,83.33333333333334,41.702188357323486,63.74999999999999,3,0,4,69.05,,
2025-09-09,RELIANCE.NS,79.47059939429522,77.77777777777777,57.01569977949825,50.0,5,1,6,69.52,,
2025-09-09,SAIL.NS,78.15277272589138,73.33333333333334,50.0,50.0,4,1,5,67.34,,
2025-09-09,SJVN.NS,55.90120689269905,33.33333333333333,31.54648767857288,53.333333333333336,1,1,3,48.31,,
2025-09-09,SPICEJET.NS,50.22747583075186,40.74074074074075,73.24867603589638,85.0,3,2,9,59.33,,
2025-09-09,SUNTV.NS,35.70971596647195,0.0,18.453512321427134,35.0,0,1,2,26.66,,
2025-09-09,TATAMOTORS.NS,83.08838226477305,100.0,31.54648767857288,50.0,3,0,3,73.04,,
2025-09-09,TATASTEEL.NS,51.68394724547326,25.925925925925924,73.24867603589638,57.77777777777777,4,5,9,50.21,,
2025-09-09,UPL.NS,65.66900751855592,66.66666666666666,41.702188357323486,57.49999999999999,3,1,4,61.43,,
2025-09-09,VEDL.NS,52.27405686288383,50.0,41.702188357323486,57.49999999999999,2,1,4,52.07,,
2025-09-09,YESBANK.NS,51.852246225777264,16.666666666666664,68.45351232142714,68.75,3,5,8,50.7,,
2025-09-10,ADANIENSOL.NS,64.69694645392894,50.0,18.946381893433973,50.0,1,1,2,53.51,,
2025-09-10,BEL.NS,61.17880517486437,80.0,51.33543567051608,55.00000000000001,4,1,5,62.41,,
2025-09-10,BHEL.NS,57.02059799594019,50.0,100.0,53.125,7,7,16,58.94,,
